0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
112,0.44,34,1,0,1,17627,14053,2118,3792,18762,1120,111.76,5,0,2,1,1,2,38.4,0
114,0.21,14,1,1,1,9447,183,9544,8182,12044,1140,113.83,7,0,2,2,2,2,16.1,0
115,0.09,22,0,0,1,23660,34059,4319,11496,19780,1150,114.4,4,0,2,0,1,1,22.9,0
129,1,12,0,1,0,6893,3987,4010,4840,3591,1290,129.51,2,6893,0,1,1,0,22,0
131,0.96,24,0,1,1,6733,30596,658,17288,6780,1310,130.49,6,6733,0,1,2,1,33.6,0
140,0.17,22,0,1,1,14509,9945,5171,670,15062,1400,139.16,6,0,2,1,2,1,23.7,0
141,0.05,28,1,1,1,13521,10898,5310,11783,1203,1410,140.01,7,0,0,2,2,2,28.5,0
142,0.07,4,1,1,1,10386,24226,2304,17892,15807,1420,141.95,7,0,0,2,2,2,4.7,0
143,0.19,2,1,1,1,15083,28437,3353,7987,12571,1430,142.95,7,0,2,2,2,2,3.9,0
157,0.95,16,0,1,0,6045,8649,7752,6875,10024,1570,157.5,2,6045,0,1,1,0,25.5,0
163,0.48,10,0,1,0,5547,16795,4990,7498,11192,1630,162.45,2,0,2,1,1,0,14.8,0
167,0.02,22,0,0,0,24139,28715,5830,18771,15695,1670,167.87,0,0,2,0,0,0,22.2,0
169,0.22,40,1,1,1,15565,14301,1015,4547,882,1690,168.55,7,0,0,2,2,2,42.2,0
171,0.45,38,0,1,1,7811,38209,9178,7505,7631,1710,171.4,6,0,2,1,2,1,42.5,0
173,0.66,36,1,0,0,8753,17428,6846,15149,4613,1730,172.96,1,8753,0,1,0,1,42.6,0
174,0.74,8,1,0,1,7811,8446,5110,8497,11745,1740,174.86,5,7811,0,1,1,2,15.4,0
183,0.93,12,0,1,1,8405,16654,8376,16529,19302,1830,183.81,6,8405,0,1,2,1,21.3,0
187,0.66,18,0,0,1,6034,25790,5260,19923,6857,1870,187.7,4,6034,2,0,1,1,24.6,0
189,0.45,2,1,0,1,24430,13190,5671,10524,122,1890,188.17,5,0,2,1,1,2,6.5,0
191,0.22,10,0,1,1,24253,34307,8686,189,7795,1910,191.46,6,0,2,1,2,1,12.2,0
196,0.37,28,0,1,1,15756,4506,480,6681,1722,1960,195.14,6,0,0,1,2,1,31.7,0
197,0.48,40,0,1,0,17597,26562,4150,1465,1610,1970,196.98,2,0,0,1,1,0,44.8,0
199,0.68,24,0,1,1,8680,38298,9095,18104,19804,1990,199.29,6,8680,0,1,2,1,30.8,0
215,0.42,24,0,0,0,13221,32292,8072,17328,11404,2150,215.11,0,0,0,0,0,0,28.2,0
221,0.29,2,0,0,1,17016,11761,7100,17300,918,2210,221.24,4,0,2,0,1,1,4.9,0
222,0.41,18,1,1,1,14158,4503,6408,3369,19102,2220,222.96,7,0,2,2,2,2,22.1,0
232,1,28,0,1,1,9542,19146,8232,1511,13789,2320,232.91,6,9542,0,1,2,1,38,0
235,0.91,28,0,0,0,9242,35406,6117,3770,13175,2350,235.16,0,9242,0,0,0,0,37.1,0
241,0.39,34,1,1,1,16018,4217,2333,12816,11528,2410,241.49,7,0,2,2,2,2,37.9,0
247,0.33,2,1,0,1,14851,456,1323,5721,5297,2470,246.46,5,0,2,1,1,2,5.3,0
268,0.24,32,0,1,1,11110,1149,9498,7436,4472,2680,268.28,6,0,0,1,2,1,34.4,0
270,0,24,1,0,1,12531,3329,1118,8159,19583,2700,270.28,5,0,0,1,1,2,24,0
272,0.24,20,0,1,1,6045,25263,814,7519,12985,2720,272.12,6,0,0,1,2,1,22.4,0
273,0.36,8,1,0,0,6136,24920,2991,11865,2320,2730,273.55,1,0,0,1,0,1,11.6,0
277,0.75,6,1,0,1,8831,27471,7994,14475,13000,2770,277.13,5,8831,2,1,1,2,13.5,0
282,0.99,4,0,1,0,6766,25335,5747,12119,2443,2820,281.36,2,6766,0,1,1,0,13.9,0
296,0.03,16,0,1,1,5865,232,9601,1113,18702,2960,296.84,6,0,0,1,2,1,16.3,0
303,0.78,12,0,1,1,7531,21161,6985,7508,2981,3030,303.85,6,7531,0,1,2,1,19.8,0
307,0.98,16,0,1,1,9505,10836,8018,2080,12027,3070,307.21,6,9505,0,1,2,1,25.8,0
319,0.29,14,1,0,0,23658,531,5036,16038,16261,3190,319.93,1,0,2,1,0,1,16.9,0
320,0.17,12,1,1,1,23645,26667,9334,12728,18411,3200,320.78,7,0,0,2,2,2,13.7,0
324,0.31,10,0,1,1,10859,21498,5051,8596,87,3240,323.35,6,0,2,1,2,1,13.1,0
329,0.8,40,1,0,0,9752,13651,2856,15233,18356,3290,329.23,1,9752,0,1,0,1,48,0
343,0.48,16,1,1,1,8418,17131,852,9311,14641,3430,342.39,7,0,0,2,2,2,20.8,0
348,0.1,32,1,1,1,12594,13948,3453,11552,2465,3480,348.96,7,0,0,2,2,2,33,0
349,0.22,24,1,1,1,15172,14934,4258,16078,4512,3490,348.96,7,0,0,2,2,2,26.2,0
350,0.34,38,1,1,1,9248,9258,3191,8361,12409,3500,350.76,7,0,2,2,2,2,41.4,0
351,0.45,14,0,1,1,11456,23074,530,4310,11866,3510,351.85,6,0,2,1,2,1,18.5,0
352,0.56,18,1,0,0,8199,32690,129,9042,7292,3520,352.89,1,8199,2,1,0,1,23.6,0
369,0.45,24,0,0,1,13240,12126,5576,19416,4638,3690,369.2,4,0,0,0,1,1,28.5,0
371,0.22,26,1,0,1,10559,8104,9667,14082,1705,3710,370.63,5,0,2,1,1,2,28.2,0
372,0.1,16,1,1,1,10291,25756,2197,3828,8095,3720,372.5,7,0,0,2,2,2,17,0
375,0.26,0,1,1,1,17895,25515,1537,8200,10526,3750,375.27,7,0,0,2,2,2,2.6,0
385,1,28,1,0,1,9393,7512,4969,12605,18250,3850,384.73,5,9393,0,1,1,2,38,0
395,0.42,36,1,1,1,15610,32627,3647,9462,4513,3950,395.14,7,0,0,2,2,2,40.2,0
397,0.19,12,1,1,1,18229,14693,4524,6005,7175,3970,396.98,7,0,0,2,2,2,13.9,0
401,0.29,14,1,0,1,24298,31859,4867,17606,10083,4010,400.9,5,0,2,1,1,2,16.9,0
402,0.41,28,0,0,0,10480,22380,6549,17804,15266,4020,402.28,0,0,0,0,0,0,32.1,0
421,0.39,14,1,0,1,17541,27532,4933,15874,1098,4210,420.91,5,0,2,1,1,2,17.9,0
423,0.16,6,0,0,1,20791,23474,1980,2923,8855,4230,422.59,4,0,2,0,1,1,7.6,0
425,0.09,28,0,1,1,7840,31182,9608,12302,13080,4250,424.66,6,0,0,1,2,1,28.9,0
427,0.33,34,0,0,1,16358,25109,1784,11033,18453,4270,427.27,4,0,2,0,1,1,37.3,0
430,0.64,20,0,1,0,9257,18051,6830,3207,1330,4300,430.58,2,9257,0,1,1,0,26.4,0
437,1,38,0,1,0,6185,38923,2758,12418,2777,4370,437.04,2,6185,2,1,1,0,48,0
447,0.36,6,1,1,1,20104,22412,3518,3524,13650,4470,446.92,7,0,2,2,2,2,9.6,0
448,0.24,34,0,1,1,9575,36936,8962,17142,581,4480,447.06,6,0,2,1,2,1,36.4,0
452,0.24,10,1,1,1,9135,8186,7780,7110,15089,4520,452.66,7,0,2,2,2,2,12.4,0
453,0.36,38,0,1,0,13410,37789,7406,10066,10886,4530,452.94,2,0,2,1,1,0,41.6,0
454,0.47,18,0,1,0,24056,33785,4931,1457,3963,4540,453.19,2,0,2,1,1,0,22.7,0
471,0.54,16,0,1,1,9480,6196,3961,8565,9043,4710,470.53,6,9480,0,1,2,1,21.4,0
473,0.33,6,1,0,1,21325,26967,7722,2262,19598,4730,472.19,5,0,2,1,1,2,9.3,0
476,0.03,38,1,0,1,20903,7423,2419,10045,9676,4760,475.35,5,0,2,1,1,2,38.3,0
477,0.16,22,1,0,1,22989,25575,680,1631,7124,4770,477.3,5,0,2,1,1,2,23.6,0
478,0.28,6,1,0,1,24999,23877,2817,8959,12156,4780,478.65,5,0,2,1,1,2,8.8,0
479,0.39,32,1,1,1,22324,13625,3014,7377,6713,4790,479.44,7,0,0,2,2,2,35.9,0
485,0.91,18,1,0,1,8141,466,327,3616,6135,4850,484.54,5,8141,2,1,1,2,27.1,0
488,1,12,1,0,1,9037,23667,1298,16342,10054,4880,488,5,9037,0,1,1,2,22,0
490,0.98,32,1,1,1,6818,16317,6796,4354,4772,4900,489.63,7,6818,0,2,2,2,41.8,0
498,0.41,38,1,1,1,23494,33283,5811,18479,9060,4980,497.79,7,0,2,2,2,2,42.1,0
499,0.29,24,0,1,0,15231,27897,7325,16261,12150,4990,498.75,2,0,0,1,1,0,26.9,0
501,0.05,18,1,0,0,22339,6215,8007,5215,2559,5010,501.56,1,0,2,1,0,1,18.5,0
504,0.31,34,1,1,1,7340,23419,8409,2108,9666,5040,503.91,7,0,2,2,2,2,37.1,0
521,0.68,12,1,0,0,6161,31501,6584,12973,6739,5210,520.8,1,6161,0,1,0,1,18.8,0
523,0.48,10,1,1,1,24795,7148,216,7064,16383,5230,523.52,7,0,2,2,2,2,14.8,0
525,0.26,24,1,0,0,15506,17845,6725,1791,13243,5250,525.08,1,0,0,1,0,1,26.6,0
527,0.02,34,0,1,1,18158,11247,8136,963,8776,5270,526.44,6,0,2,1,2,1,34.2,0
530,0.34,8,1,1,1,11031,12784,6054,9043,5356,5300,529.43,7,0,0,2,2,2,11.4,0
531,0.45,28,1,1,1,5431,24867,3370,17899,12117,5310,531.1,7,0,0,2,2,2,32.5,0
546,0.74,40,0,1,0,7335,18118,2702,15426,9436,5460,546.15,2,7335,0,1,1,0,47.4,0
548,0.56,30,0,0,1,9402,18692,5756,1879,17992,5480,548.9,4,9402,2,0,1,1,35.6,0
552,0.1,24,1,0,1,14699,15364,8103,8853,15511,5520,552.19,5,0,0,1,1,2,25,0
555,0.26,2,0,0,1,10816,21650,5341,5016,3324,5550,555.09,4,0,2,0,1,1,4.6,0
556,0.37,0,0,1,1,16755,39625,4261,2431,4641,5560,555.47,6,0,0,1,2,1,3.7,0
557,0.48,26,0,0,0,22181,2965,2363,19739,4727,5570,556.37,0,0,2,0,0,0,30.8,0
558,0.59,26,1,0,1,8558,30710,2414,13357,2836,5580,557.05,5,8558,2,1,1,2,31.9,0
565,1,36,0,1,1,6307,14891,4240,15046,7676,5650,565.95,6,6307,0,1,2,1,46,0
569,0.92,12,1,0,0,6587,3680,3328,5118,19435,5690,568.01,1,6587,0,1,0,1,21.2,0
575,0.42,26,0,1,0,20449,16054,5620,4978,14915,5750,574.54,2,0,2,1,1,0,30.2,0
576,0.31,4,1,0,0,8778,15629,2780,12820,15971,5760,576.35,1,0,0,1,0,1,7.1,0
577,0.19,12,0,0,0,24741,4933,2398,5902,2575,5770,576.97,0,0,0,0,0,0,13.9,0
578,0.07,38,1,0,1,7687,9302,9162,19899,6407,5780,577.96,5,0,2,1,1,2,38.7,0
582,0.41,6,0,0,0,19970,28454,2960,5155,5398,5820,582.15,0,0,2,0,0,0,10.1,0
584,0.62,10,1,0,1,9870,15570,4700,17888,9679,5840,584.62,5,9870,2,1,1,2,16.2,0
591,1,4,1,0,1,9790,38250,7122,14224,16667,5910,591.21,5,9790,0,1,1,2,14,0
601,0.39,2,0,0,0,7955,19324,3708,1785,17958,6010,600.54,0,0,2,0,0,0,5.9,0
605,0.09,4,0,1,0,21940,35925,8433,13234,3742,6050,604.34,2,0,0,1,1,0,4.9,0
606,0.21,40,1,0,1,6395,29443,6135,11200,3043,6060,605.33,5,0,0,1,1,2,42.1,0
607,0.33,18,0,1,0,10224,37855,6503,5103,18063,6070,606.14,2,0,2,1,1,0,21.3,0
608,0.44,16,0,0,1,20306,28124,6606,19645,4052,6080,608.83,4,0,0,0,1,1,20.4,0
609,0.54,14,0,0,0,6821,6975,5781,19579,10186,6090,609.25,0,6821,2,0,0,0,19.4,0
613,0.87,26,0,0,0,5078,19890,966,13410,19897,6130,613.37,0,5078,2,0,0,0,34.7,0
619,0.97,8,1,0,1,6510,20814,4097,758,10985,6190,618.62,5,6510,0,1,1,2,17.7,0
626,0.47,36,1,0,1,5917,6708,6900,6610,11645,6260,626.79,5,0,0,1,1,2,40.7,0
627,0.36,18,0,1,1,17557,18835,3416,19877,16508,6270,627.94,6,0,2,1,2,1,21.6,0
629,0.12,38,1,1,1,17928,21819,4890,231,8617,6290,628.6,7,0,2,2,2,2,39.2,0
631,0.12,12,1,0,1,11556,24202,4271,19392,4171,6310,630.66,5,0,0,1,1,2,13.2,0
633,0.36,20,1,0,0,14231,16245,7205,16392,3703,6330,633.78,1,0,0,1,0,1,23.6,0
652,0.44,40,1,1,1,9020,30515,8587,10591,4200,6520,652.33,7,0,0,2,2,2,44.4,0
653,0.33,24,1,0,0,18702,37537,1700,4606,4731,6530,653.5,1,0,0,1,0,1,27.3,0
654,0.21,30,1,1,1,15632,26228,9205,7111,5416,6540,654.01,7,0,2,2,2,2,32.1,0
656,0.03,12,0,0,0,14482,2847,730,5867,6400,6560,655.94,0,0,0,0,0,0,12.3,0
662,0.69,22,0,1,1,6772,33319,164,8475,13855,6620,661.54,6,6772,2,1,2,1,28.9,0
671,0.96,40,1,0,0,5979,22577,8509,19702,11312,6710,671.17,1,5979,0,1,0,1,49.6,0
674,0.79,26,1,0,1,7473,14375,6547,14991,1404,6740,673.31,5,7473,2,1,1,2,33.9,0
679,0.29,30,0,1,0,21257,14912,2478,5701,11126,6790,678.3,2,0,2,1,1,0,32.9,0
684,0.31,18,0,0,1,23506,34538,6970,18057,9057,6840,684.1,4,0,2,0,1,1,21.1,0
686,0.53,4,1,1,1,7835,5504,1438,16132,14654,6860,685.14,7,7835,0,2,2,2,9.3,0
689,0.8,18,0,1,0,8671,16497,6909,6312,11951,6890,689.35,2,8671,2,1,1,0,26,0
695,1,20,0,1,0,7724,16326,3714,5140,18689,6950,694.32,2,7724,0,1,1,0,30,0
697,0.95,40,0,0,0,7340,38427,8582,14330,9489,6970,697.69,0,7340,0,0,0,0,49.5,0
700,0.77,26,1,0,0,8102,3590,2733,7136,17769,7000,700.02,1,8102,2,1,0,1,33.7,0
703,0.48,0,1,0,0,12955,3038,7328,6132,9932,7030,703.29,1,0,0,1,0,1,4.8,0
704,0.37,10,0,0,1,12880,12033,2189,13089,15349,7040,704.64,4,0,2,0,1,1,13.7,0
705,0.26,18,0,0,1,7205,24841,9172,13741,17380,7050,704.34,4,0,2,0,1,1,20.6,0
706,0.14,28,1,1,1,10390,11538,6634,16823,1330,7060,706.69,7,0,0,2,2,2,29.4,0
709,0.22,24,1,0,1,5766,11640,7543,10436,10382,7090,709.89,5,0,0,1,1,2,26.2,0
730,0.34,38,0,1,1,22683,2614,1787,10574,11803,7300,729.84,6,0,2,1,2,1,41.4,0
731,0.22,22,0,0,1,17227,35722,9609,6518,10408,7310,731.29,4,0,2,0,1,1,24.2,0
733,0.02,34,1,1,1,22964,29911,8068,9099,4853,7330,732.92,7,0,2,2,2,2,34.2,0
736,0.37,30,0,1,0,11106,29202,8610,7686,11794,7360,735.23,2,0,2,1,1,0,33.7,0
756,0.31,32,0,0,1,21138,14216,1615,17,5629,7560,755.82,4,0,0,0,1,1,35.1,0
760,0.17,40,1,0,1,6098,12453,6002,13082,3086,7600,760.1,5,0,0,1,1,2,41.7,0
762,0.41,10,0,0,0,5499,30399,4511,3622,3876,7620,761.45,0,0,2,0,0,0,14.1,0
771,1,28,0,1,1,7830,11619,2974,11823,8936,7710,771.87,6,7830,0,1,2,1,38,0
777,0.78,18,0,1,0,7530,2502,1033,8534,195,7770,776.79,2,7530,2,1,1,0,25.8,0
778,0.69,30,0,0,1,8929,35906,6640,12289,19659,7780,778.63,4,8929,2,0,1,1,36.9,0
779,0.6,18,0,0,1,7452,16831,7281,4994,6438,7790,778.28,4,7452,2,0,1,1,24,0
786,0.21,32,0,1,1,6865,23394,5487,9467,13611,7860,785.91,6,0,0,1,2,1,34.1,0
787,0.33,38,0,0,1,22535,16409,1296,6933,986,7870,787.87,4,0,2,0,1,1,41.3,0
791,0.73,10,1,0,1,9097,25718,5029,7764,9498,7910,790.83,5,9097,2,1,1,2,17.3,0
802,0.83,20,1,0,1,7477,35392,9974,8698,11394,8020,801.42,5,7477,0,1,1,2,28.3,0
808,0.24,30,0,1,1,9474,31339,4840,15217,231,8080,807.17,6,0,2,1,2,1,32.4,0
809,0.12,12,1,1,1,6730,5263,2381,2085,9009,8090,809.62,7,0,0,2,2,2,13.2,0
810,0,38,1,0,1,5075,382,1467,10432,18211,8100,809.05,5,0,2,1,1,2,38,0
829,0.73,24,1,0,0,8761,14301,9250,12929,11934,8290,829.77,1,8761,0,1,0,1,31.3,0
832,0.44,22,0,1,0,6346,30361,4487,8627,9893,8320,832.71,2,0,2,1,1,0,26.4,0
833,0.33,30,0,1,1,6186,7148,7753,11038,3187,8330,832.97,6,0,2,1,2,1,33.3,0
836,0.03,38,1,1,1,9155,34823,1699,155,1430,8360,836.31,7,0,2,2,2,2,38.3,0
838,0.28,12,1,0,1,11438,36225,2363,19183,40,8380,838.46,5,0,0,1,1,2,14.8,0
839,0.39,8,0,1,1,7090,2182,850,18341,15999,8390,839.11,6,0,0,1,2,1,11.9,0
858,0.41,28,1,0,1,24671,14132,1820,16592,15744,8580,857.77,5,0,0,1,1,2,32.1,0
859,0.29,22,0,1,1,23751,34235,7129,15703,15123,8590,858.83,6,0,2,1,2,1,24.9,0
860,0.17,20,1,1,1,15761,37639,1405,1049,10367,8600,859.87,7,0,0,2,2,2,21.7,0
865,0.42,20,0,1,0,21727,28620,274,10846,15537,8650,864.29,2,0,0,1,1,0,24.2,0
874,1,8,1,1,1,9964,33456,99,2293,1382,8740,874,7,9964,0,2,2,2,18,0
883,0.48,34,0,0,1,6511,22858,2967,725,7181,8830,882.07,4,0,2,0,1,1,38.8,0
885,0.26,6,0,1,0,16025,21318,8889,10697,19560,8850,884.46,2,0,2,1,1,0,8.6,0
886,0.14,10,0,1,1,23496,23044,9120,11836,2920,8860,886.55,6,0,2,1,2,1,11.4,0
888,0.1,28,0,1,1,15272,5593,2622,14104,4358,8880,888.64,6,0,0,1,2,1,29,0
889,0.22,8,0,0,0,5110,30193,1794,15496,12637,8890,888.26,0,0,0,0,0,0,10.2,0
891,0.45,8,0,1,0,14688,28427,7656,1656,9988,8910,891.97,2,0,0,1,1,0,12.5,0
904,0.88,10,1,0,1,8011,1566,5413,13505,14298,9040,904.6,5,8011,2,1,1,2,18.8,0
909,0.45,2,0,1,0,24400,35621,8509,13547,18748,9090,909.62,2,0,2,1,1,0,6.5,0
910,0.34,8,1,0,1,14998,26205,8883,731,15578,9100,909.48,5,0,0,1,1,2,11.4,0
911,0.22,24,1,0,0,24491,15264,6342,18703,4183,9110,911.98,1,0,0,1,0,1,26.2,0
912,0.1,4,1,0,1,15532,23992,4755,3264,7674,9120,911.62,5,0,0,1,1,2,5,0
913,0.02,2,1,1,1,22154,17338,7903,7256,1358,9130,913.95,7,0,2,2,2,2,2.2,0
914,0.14,28,1,0,1,14391,36074,9884,4787,3866,9140,914.45,5,0,0,1,1,2,29.4,0
936,0.31,4,1,1,1,19513,26807,7937,1259,9908,9360,935.95,7,0,0,2,2,2,7.1,0
940,0.17,4,1,0,1,24933,29454,2065,7256,11385,9400,940.34,5,0,0,1,1,2,5.7,0
942,0.41,22,0,0,0,7635,22969,1805,11229,3926,9420,941.27,0,0,2,0,0,0,26.1,0
944,0.62,32,1,1,1,5578,35167,1944,7014,2971,9440,944.8,7,5578,0,2,2,2,38.2,0
952,1,36,0,0,1,7037,27421,4084,17009,14582,9520,952.77,4,7037,0,0,1,1,46,0
965,0.09,12,1,1,1,9722,17864,6828,17797,7176,9650,965.29,7,0,0,2,2,2,12.9,0
968,0.44,28,1,0,1,23962,37926,7915,17810,17636,9680,967.88,5,0,0,1,1,2,32.4,0
970,0.64,26,0,0,0,8195,1635,1832,6793,10070,9700,970.35,0,8195,2,0,0,0,32.4,0
975,0.97,18,0,0,1,9776,20468,2179,9938,14040,9750,975.63,4,9776,2,0,1,1,27.7,0
984,0.67,18,1,1,1,8985,8313,352,19673,8723,9840,984.56,7,8985,2,2,2,2,24.7,0
988,0.24,24,0,0,0,21141,24693,925,17997,12481,9880,988.16,0,0,0,0,0,0,26.4,0
989,0.12,38,1,0,1,24029,39780,6499,7523,8716,9890,988.38,5,0,2,1,1,2,39.2,0
992,0.24,0,1,0,0,24257,20360,3981,9077,10224,9920,992.65,1,0,0,1,0,1,2.4,0
1005,0.97,38,1,0,1,7807,26621,912,9852,4186,10050,1005.42,5,7807,2,1,1,2,47.7,0
1011,0.54,10,1,0,0,5720,11716,9888,1514,18969,10110,1010.29,1,5720,2,1,0,1,15.4,0
1013,0.33,4,0,1,0,10631,37213,7814,15673,8243,10130,1012.32,2,0,0,1,1,0,7.3,0
1019,0.39,18,1,0,1,17574,20742,3130,9520,6488,10190,1019.83,5,0,2,1,1,2,21.9,0
1025,0.91,14,0,0,0,6368,7969,7979,2126,10526,10250,1025.26,0,6368,2,0,0,0,23.1,0
1039,0.29,28,1,0,0,13373,1752,7991,14968,19152,10390,1039,1,0,0,1,0,1,30.9,0
1040,0.17,20,1,0,0,20502,35097,8153,8589,9574,10400,1040.64,1,0,0,1,0,1,21.7,0
1042,0.07,4,1,1,1,16190,12489,9911,12813,5717,10420,1041.54,7,0,0,2,2,2,4.7,0
1043,0.19,20,0,1,0,20567,22484,5948,13256,14167,10430,1042.46,2,0,0,1,1,0,21.9,0
1046,0.53,22,1,1,1,6668,32282,5937,12687,8674,10460,1045.13,7,6668,2,2,2,2,27.3,0
1068,0.1,24,1,0,1,19959,36745,9727,6626,2417,10680,1067.01,5,0,0,1,1,2,25,0
1070,0.34,14,1,1,1,19500,13608,4030,8812,13356,10700,1070.89,7,0,2,2,2,2,17.4,0
1071,0.45,20,0,1,1,11192,38931,2134,1601,2990,10710,1071.27,6,0,0,1,2,1,24.5,0
1074,0.74,26,0,0,1,5673,15848,252,2087,19192,10740,1074.89,4,5673,2,0,1,1,33.4,0
1085,0.82,6,1,0,1,8382,11071,4149,3195,5660,10850,1085.45,5,8382,2,1,1,2,14.2,0
1091,0.22,32,1,1,1,7214,21732,3918,18769,7726,10910,1090.67,7,0,0,2,2,2,34.2,0
1092,0.1,28,1,0,0,21012,38002,3292,14742,13096,10920,1092.76,1,0,0,1,0,1,29,0
1096,0.37,38,1,0,1,15158,19834,3691,18082,6822,10960,1096.2,5,0,2,1,1,2,41.7,0
1097,0.48,20,1,0,1,9746,34984,4571,2906,733,10970,1096.6,5,0,0,1,1,2,24.8,0
1113,0.63,2,1,1,1,8524,29584,9264,8058,17892,11130,1112.22,7,8524,2,2,2,2,8.3,0
1114,0.53,36,0,0,1,9283,1599,6088,4721,8918,11140,1113.16,4,9283,0,0,1,1,41.3,0
1116,0.31,2,1,1,1,22972,15383,7371,8822,10235,11160,1116.41,7,0,2,2,2,2,5.1,0
1117,0.19,16,0,1,1,23286,39329,4009,1454,637,11170,1117.73,6,0,0,1,2,1,17.9,0
1118,0.07,36,0,1,0,7793,1677,6837,18595,1993,11180,1118.49,2,0,0,1,1,0,36.7,0
1120,0.17,32,0,1,0,8522,22278,2007,12244,19071,11200,1119.29,2,0,0,1,1,0,33.7,0
1122,0.41,6,1,1,1,5578,4357,3883,8833,6150,11220,1121.74,7,0,2,2,2,2,10.1,0
1133,0.98,6,1,1,1,8876,26452,123,924,5107,11330,1133.56,7,8876,2,2,2,2,15.8,0
1134,0.95,6,0,0,0,7505,16294,6170,13306,9994,11340,1134.34,0,7505,2,0,0,0,15.5,0
1139,0.6,8,0,0,0,6923,32625,7495,9970,3374,11390,1139.35,0,6923,0,0,0,0,14,0
1141,0.39,38,0,1,1,24786,1962,2307,2251,12125,11410,1141.72,6,0,2,1,2,1,41.9,0
1142,0.28,28,1,0,0,17828,37783,6522,2920,11966,11420,1142.4,1,0,0,1,0,1,30.8,0
1144,0.03,8,0,1,1,5407,18741,5235,10993,11227,11440,1144.12,6,0,0,1,2,1,8.3,0
1147,0.33,14,1,1,1,14945,36833,34,447,12633,11470,1147.36,7,0,2,2,2,2,17.3,0
1164,0.67,14,1,1,1,9034,10236,3320,5105,17810,11640,1164.91,7,9034,2,2,2,2,20.7,0
1170,0,10,1,0,1,9940,562,5353,13517,5594,11700,1169.62,5,0,2,1,1,2,10,0
1171,0.12,4,1,0,0,10125,8923,41,8942,3052,11710,1171.96,1,0,0,1,0,1,5.2,0
1174,0.47,30,1,1,1,8171,28742,9075,12997,7259,11740,1173.5,7,0,2,2,2,2,34.7,0
1194,0.21,24,0,1,1,11440,17462,7658,6753,16993,11940,1193.49,6,0,0,1,2,1,26.1,0
1197,0.16,34,0,1,0,15217,7821,7353,18024,18595,11970,1197.71,2,0,2,1,1,0,35.6,0
1200,0.5,12,0,1,1,5500,25700,9411,11893,17404,12000,1200.48,6,5500,0,1,2,1,17,0
1217,0.52,24,1,1,1,9000,16140,6547,10738,2467,12170,1217.76,7,9000,0,2,2,2,29.2,0
1219,0.29,34,0,1,1,5159,39386,5895,9051,12225,12190,1218.19,6,0,2,1,2,1,36.9,0
1221,0.05,2,0,1,1,19921,4413,761,13680,18587,12210,1220.32,6,0,2,1,2,1,2.5,0
1224,0.31,26,1,1,1,24555,12732,5055,16103,3368,12240,1224.63,7,0,2,2,2,2,29.1,0
1233,0.99,40,1,0,1,7585,4644,3016,665,14651,12330,1232.53,5,7585,0,1,1,2,49.9,0
1240,0.77,18,0,0,0,5579,10947,2951,14066,18003,12400,1240.3,0,5579,2,0,0,0,25.7,0
1245,0.26,20,1,0,1,8607,966,2564,19982,671,12450,1245.31,5,0,0,1,1,2,22.6,0
