,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,y_true,y_predict,y_proba,y_proba_predict,Igual y_pred,Igual y_proba
149,3,18,4,3,1582,3,4,4,2,0,4,2,46,2,1,2,2,1,0,0,1,1,0.731058575,1,VERDADERO,VERDADERO
150,3,6,2,3,1346,1,4,2,2,0,4,3,42,0,2,1,2,2,1,0,1,1,0.731058482,1,VERDADERO,VERDADERO
151,3,10,2,3,1924,0,2,1,2,0,4,1,38,2,1,1,2,1,1,1,1,1,0.631838825,1,VERDADERO,VERDADERO
152,2,36,2,3,5848,0,2,4,2,0,1,2,24,2,1,1,2,1,0,0,1,1,0.733928926,1,VERDADERO,VERDADERO
153,1,24,4,1,7758,3,4,2,1,0,4,3,29,2,0,1,2,1,0,0,1,1,0.795443953,1,VERDADERO,VERDADERO
154,1,24,3,9,6967,1,3,4,2,0,4,2,36,2,0,1,3,1,1,0,1,1,0.731058527,1,VERDADERO,VERDADERO
155,0,12,2,2,1282,0,2,2,1,0,4,2,20,2,0,1,2,1,0,0,0,0,0.500000385,0,VERDADERO,VERDADERO
156,0,9,4,5,1288,1,4,3,2,2,4,0,48,2,1,2,2,2,0,1,1,1,0.731058565,1,VERDADERO,VERDADERO
157,0,12,1,8,339,0,4,4,3,0,1,2,45,0,1,1,1,1,0,0,1,1,0.731058448,1,VERDADERO,VERDADERO
158,1,24,2,0,3512,1,3,2,2,0,3,2,38,0,1,2,2,1,1,0,1,1,0.676174022,1,VERDADERO,VERDADERO
159,3,6,4,3,1898,4,2,1,2,0,2,0,34,2,1,2,1,2,0,0,1,1,0.73105851,1,VERDADERO,VERDADERO
160,3,24,4,3,2872,1,4,3,2,0,4,0,36,2,1,1,2,2,1,0,1,1,0.731058498,1,VERDADERO,VERDADERO
161,3,18,4,0,1055,0,1,4,1,0,1,1,30,2,1,2,2,1,0,0,1,1,0.731058571,1,VERDADERO,VERDADERO
162,3,15,2,4,1262,2,3,4,2,0,3,1,36,2,1,2,2,1,1,0,1,1,0.731058449,1,VERDADERO,VERDADERO
163,1,10,2,0,7308,0,0,2,2,0,4,3,70,0,2,1,3,1,1,0,1,1,0.731058506,1,VERDADERO,VERDADERO
164,3,36,2,0,909,2,4,4,2,0,4,1,36,2,1,1,2,1,0,0,1,1,0.731058443,1,VERDADERO,VERDADERO
165,3,6,2,2,2978,2,2,1,2,0,2,2,32,2,1,1,2,1,1,0,1,1,0.731058531,1,VERDADERO,VERDADERO
166,0,18,2,2,1131,0,0,4,1,0,2,2,33,2,1,1,2,1,0,0,0,0,0.500000406,0,VERDADERO,VERDADERO
167,1,11,2,2,1577,3,1,4,1,0,1,0,20,2,1,1,2,1,0,0,1,1,0.731058537,1,VERDADERO,VERDADERO
168,3,24,2,2,3972,0,3,2,1,0,4,1,25,2,0,1,2,1,1,0,1,1,0.731058611,1,VERDADERO,VERDADERO
169,1,24,4,9,1935,0,4,4,0,0,4,0,31,2,1,2,2,1,1,0,0,0,0.500000223,0,VERDADERO,VERDADERO
170,0,15,0,0,950,0,4,4,2,0,3,2,33,2,0,2,2,2,0,0,0,0,0.500000088,0,VERDADERO,VERDADERO
171,3,12,2,2,763,0,2,4,1,0,1,0,26,2,1,1,2,1,1,0,1,1,0.731058455,1,VERDADERO,VERDADERO
172,1,24,3,2,2064,0,0,3,1,0,2,1,34,2,1,1,3,1,1,0,0,0,0.500000235,0,VERDADERO,VERDADERO
173,1,8,2,3,1414,0,2,4,2,2,2,0,33,2,1,1,2,1,0,1,1,1,0.73105835,1,VERDADERO,VERDADERO
174,0,21,3,6,3414,0,1,2,2,0,1,1,26,2,1,2,2,1,0,0,0,0,0.500000142,0,VERDADERO,VERDADERO
175,3,30,1,1,7485,4,0,4,1,0,1,0,53,0,1,1,3,1,1,0,0,0,0.50000026,0,VERDADERO,VERDADERO
176,0,12,2,2,2577,0,2,2,0,0,1,2,42,2,1,1,2,1,0,0,1,1,0.731058475,1,VERDADERO,VERDADERO
177,0,6,4,3,338,2,4,4,2,0,4,2,52,2,1,2,2,1,0,0,1,1,0.650842021,1,VERDADERO,VERDADERO
178,3,12,2,3,1963,0,3,4,2,0,2,2,31,2,0,2,3,2,1,0,1,1,0.731058484,1,VERDADERO,VERDADERO
179,0,21,4,0,571,0,4,4,2,0,4,0,65,2,1,2,2,1,0,0,1,1,0.731058478,1,VERDADERO,VERDADERO
180,3,36,3,9,9572,0,1,1,0,0,1,2,28,2,1,2,2,1,0,0,0,0,0.500000151,0,VERDADERO,VERDADERO
181,1,36,3,9,4455,0,2,2,0,0,2,0,30,1,1,2,3,1,1,0,0,0,0.500000213,0,VERDADERO,VERDADERO
182,0,21,1,0,1647,4,2,4,2,0,2,1,40,2,1,2,1,2,0,0,0,0,0.500000228,0,VERDADERO,VERDADERO
183,3,24,4,2,3777,3,2,4,2,0,4,0,50,2,1,1,2,1,1,0,1,1,0.731058454,1,VERDADERO,VERDADERO
184,1,18,4,0,884,0,4,4,2,0,4,2,36,0,1,1,2,2,1,0,0,1,0.641736743,1,FALSO,FALSO
185,3,15,4,3,1360,0,2,4,2,0,2,1,31,2,1,2,2,1,0,0,1,0,0.578951656,1,FALSO,VERDADERO
186,1,9,1,1,5129,0,4,2,1,0,4,3,74,0,2,1,3,2,1,0,0,0,0.618285736,1,VERDADERO,FALSO
187,1,16,4,0,1175,0,0,2,2,0,3,2,68,2,2,3,0,1,1,0,1,1,0.73105847,1,VERDADERO,VERDADERO
188,0,12,2,3,674,1,3,4,3,0,1,1,20,2,1,1,2,1,0,0,0,0,0.500000174,0,VERDADERO,VERDADERO
189,1,18,0,2,3244,0,2,1,1,0,4,2,33,0,1,2,2,1,1,0,1,1,0.731058526,1,VERDADERO,VERDADERO
190,3,24,2,9,4591,3,2,2,2,0,3,1,54,2,1,3,3,1,1,0,0,0,0.500000201,0,VERDADERO,VERDADERO
191,1,48,0,9,3844,1,3,4,2,0,4,3,34,2,2,1,1,2,0,0,0,0,0.500000287,0,VERDADERO,VERDADERO
192,1,27,2,9,3915,0,2,4,2,0,2,2,36,2,1,1,2,2,1,0,0,0,0.500000224,0,VERDADERO,VERDADERO
193,3,6,2,3,2108,0,3,2,3,0,2,0,29,2,0,1,2,1,0,0,1,0,0.606814511,1,FALSO,VERDADERO
194,1,45,2,3,3031,1,2,4,2,2,4,1,21,2,0,1,2,1,0,0,0,0,0.500000229,0,VERDADERO,VERDADERO
195,1,9,4,6,1501,0,4,2,1,0,3,2,34,2,1,2,3,1,1,0,0,0,0.500000251,0,VERDADERO,VERDADERO
196,3,6,4,3,1382,0,2,1,1,0,1,2,28,2,1,2,2,1,1,0,1,1,0.731058417,1,VERDADERO,VERDADERO
197,1,12,2,2,951,1,1,4,1,0,4,2,27,0,0,4,2,1,0,0,0,0,0.500000061,0,VERDADERO,VERDADERO
198,1,24,2,1,2760,4,4,4,2,0,4,3,36,0,2,1,2,1,1,0,1,1,0.731058453,1,VERDADERO,VERDADERO
199,1,18,3,2,4297,0,4,4,0,0,3,3,40,2,1,1,3,1,1,0,0,1,0.749699648,1,FALSO,FALSO
200,3,9,4,6,936,2,4,4,2,0,2,2,52,2,1,2,2,1,1,0,1,1,0.731058577,1,VERDADERO,VERDADERO
